cell_km,medoid_rank,consensus_rank,species,occurrence_rows,unique_locations,duplicate_rows,occupied_cells,occupied_area_km2,centroid_x_km,centroid_y_km,mean_pairwise_jsd,jsd_to_consensus
5,18,7,Teucrium chamaedrys,37095,37095,0,12549,313725,-247.86705709535613,-757.5372211041569,0.7934993824542594,0.4769303170630651
5,19,18,Potentilla verna,24735,24735,0,10759,268975,-346.8142095586783,-569.0435685631245,0.7944038598955284,0.5138616103706568
5,20,8,Poa alpina,21827,21827,0,8481,212025,37.36484839114611,375.7068362735613,0.7964567527900477,0.4810408002306741
5,21,53,Saxifraga androsacea,1907,1907,0,1002,25050,-30.83222601728503,-629.9810018521406,0.7976308534051302,0.6059140293162815
5,22,62,Festuca quadriflora,2389,2389,0,1071,26775,-26.189996297653067,-620.1222077539204,0.8011616811275136,0.620937283588312
5,23,49,Mutellina adonidifolia,3368,3368,0,1462,36550,64.09585797683594,-568.5603716372223,0.8015655326125817,0.5994420362613909
5,24,44,Leucanthemopsis alpina,4706,4706,0,1675,41875,-108.47990598692027,-669.0813076535338,0.8021754966071935,0.5912453356215807
5,25,4,Briza media,61027,61027,0,24767,619175,-195.1813351640271,-91.27102691509943,0.8024302801048501,0.4641813878160846
5,26,5,Poterium sanguisorba,55001,55001,0,21968,549200,-397.69982673779805,-553.6955822513277,0.8027960914435264,0.46820515404804625
5,27,23,Stachys recta,20586,20586,0,9893,247325,-153.96478889799258,-611.769513622419,0.8041015072517231,0.5250075365234148
5,28,60,Gentiana bavarica,3085,3085,0,1362,34050,-3.3965685777877344,-598.9983275386601,0.8044268247558904,0.6184449543237079
5,29,47,Phyteuma hemisphaericum,5021,5021,0,1824,45600,-147.34848963705437,-683.8919427424657,0.8047172206824239,0.594505374715429
5,30,55,Luzula alpinopilosa,3018,3018,0,1292,32300,-33.71599247551582,-633.2028886532136,0.8047203733058956,0.6122642290770718
5,31,6,Plantago media,54872,54872,0,24254,606350,-61.80315844782032,-137.3795980177346,0.8063681379878447,0.4701641428731906
5,32,65,Veronica bellidioides,2608,2608,0,1173,29325,-111.07832045663837,-679.3443839499813,0.8079528143648764,0.6242217898177731
5,33,10,Sedum album,39261,39261,0,17706,442650,-402.5241897157522,-477.5120147424321,0.808347780250991,0.4894979757811294
5,34,54,Sedum alpestre,3131,3131,0,1374,34350,-146.48171314070592,-708.2408329496899,0.8087059777322806,0.61146085048972
5,35,61,Hieracium villosum,2380,2380,0,1374,34350,-2.2950217043377883,-609.2160005776941,0.8103332805036533,0.6194056141203553
5,36,26,Dryas octopetala,17673,17673,0,5692,142300,-1.5401938289644728,269.05808206682434,0.8105468335911152,0.5347228717531297
5,37,67,Carex curvula,2917,2917,0,1102,27550,-104.66555185118162,-675.7603947898891,0.8113280824659297,0.6307907226195969
5,38,32,Trifolium montanum,16891,16891,0,8395,209875,343.5372302816735,-225.52260069175207,0.811691999859063,0.5560470810143499
5,39,31,Scabiosa columbaria,22530,22530,0,11747,293675,-421.26261879573826,-431.4638057601979,0.8135799067488396,0.5520434908878911
5,40,16,Leontodon hispidus,44139,44139,0,19168,479200,-197.58090650986497,-162.74076687107078,0.8143521937904434,0.5084328597255828
5,41,20,Linum catharticum,44417,44417,0,19375,484375,-354.50393277789334,15.352027812788663,0.8171983523996585,0.5147633953107411
5,42,25,Brachypodium pinnatum,40120,40120,0,17398,434950,-322.89088088511255,-489.0735439713766,0.8172742952849111,0.5340305850922376
